id,current_word_id,next_word_id,occurrence,is_updated
1,10,42013,10,0
2,10,25290,9,0
3,10,20356,8,0
4,10,35305,7,0
5,10,15970,6,0
6,10,29166,5,0
7,10,35645,4,0
8,10,55422,3,0
9,10,50903,2,0
10,10,9934,1,0
11,17,42013,10,0
12,17,25290,9,0
13,17,20356,8,0
14,17,35305,7,0
15,17,15970,6,0
16,17,29166,5,0
17,17,35645,4,0
18,17,55422,3,0
19,17,50903,2,0
20,17,9934,1,0
21,62,29839,10,0
22,62,8773,9,0
23,62,33234,8,0
24,62,37096,7,0
25,62,57249,6,0
26,62,9209,5,0
27,62,41969,4,0
28,62,55083,3,0
29,62,42128,2,0
30,62,33167,1,0
31,75,30239,10,0
32,75,29839,9,0
33,75,18908,8,0
34,75,55422,7,0
35,75,26488,6,0
36,75,20356,5,0
37,75,30280,4,0
38,75,29309,3,0
39,75,62,2,0
40,75,14299,1,0
41,79,30239,10,0
42,79,55422,9,0
43,79,29839,8,0
44,79,30280,7,0
45,79,37237,6,0
46,79,4508,5,0
47,79,18908,4,0
48,79,14299,3,0
49,79,53602,2,0
50,79,53593,1,0
51,84,30239,10,0
52,84,29839,9,0
53,84,30280,8,0
54,84,55422,7,0
55,84,18908,6,0
56,84,4508,5,0
57,84,37237,4,0
58,84,36767,3,0
59,84,53602,2,0
60,84,53593,1,0
61,89,30280,10,0
62,89,55422,9,0
63,89,29839,8,0
64,89,14367,7,0
65,89,30239,6,0
66,89,18908,5,0
67,89,14492,4,0
68,89,20356,3,0
69,89,39752,2,0
70,89,53593,1,0
71,90,36767,10,0
72,90,55422,9,0
73,90,18908,8,0
74,90,20356,7,0
75,90,14299,6,0
76,90,30239,5,0
77,90,4508,4,0
78,90,26488,3,0
79,90,50305,2,0
80,90,39752,1,0
81,93,36767,10,0
82,93,55422,9,0
83,93,18908,8,0
84,93,14299,7,0
85,93,20356,6,0
86,93,30280,5,0
87,93,4508,4,0
88,93,30239,3,0
89,93,50305,2,0
90,93,26488,1,0
91,104,30280,10,0
92,104,14492,9,0
93,104,30239,8,0
94,104,14367,7,0
95,104,4508,6,0
96,104,55422,5,0
97,104,50305,4,0
98,104,8943,3,0
99,104,29839,2,0
100,104,8773,1,0
101,113,36767,10,0
102,113,30239,9,0
103,113,55422,8,0
104,113,20356,7,0
105,113,18908,6,0
106,113,29839,5,0
107,113,14367,4,0
108,113,4820,3,0
109,113,26488,2,0
110,113,30280,1,0
111,117,30239,10,0
112,117,30280,9,0
113,117,14492,8,0
114,117,53593,7,0
115,117,29839,6,0
116,117,36767,5,0
117,117,14367,4,0
118,117,55422,3,0
119,117,53602,2,0
120,117,8773,1,0
121,180,14367,10,0
122,180,20356,9,0
123,180,14492,8,0
124,180,15970,7,0
125,180,39752,6,0
126,180,55422,5,0
127,180,18908,4,0
128,180,62,3,0
129,180,29839,2,0
130,180,20289,1,0
131,193,14492,10,0
132,193,20356,9,0
133,193,14367,8,0
134,193,30239,7,0
135,193,18908,6,0
136,193,29839,5,0
137,193,20289,4,0
138,193,15970,3,0
139,193,30280,2,0
140,193,4820,1,0
141,199,29839,10,0
142,199,30239,9,0
143,199,30280,8,0
144,199,53593,7,0
145,199,14492,6,0
146,199,53602,5,0
147,199,18908,4,0
148,199,8773,3,0
149,199,14299,2,0
150,199,55422,1,0
151,230,18908,10,0
152,230,14492,9,0
153,230,20356,8,0
154,230,39752,7,0
155,230,55422,6,0
156,230,14367,5,0
157,230,30280,4,0
158,230,37237,3,0
159,230,50305,2,0
160,230,4820,1,0
161,233,4820,10,0
162,233,18908,9,0
163,233,55422,8,0
164,233,14367,7,0
165,233,39752,6,0
166,233,20356,5,0
167,233,14299,4,0
168,233,50305,3,0
169,233,29839,2,0
170,233,29309,1,0
171,244,20356,10,0
172,244,39752,9,0
173,244,55422,8,0
174,244,18908,7,0
175,244,37237,6,0
176,244,22875,5,0
177,244,30280,4,0
178,244,14367,3,0
179,244,47881,2,0
180,244,62,1,0
181,252,14492,10,0
182,252,30280,9,0
183,252,30239,8,0
184,252,53593,7,0
185,252,14367,6,0
186,252,53602,5,0
187,252,29839,4,0
188,252,15970,3,0
189,252,55422,2,0
190,252,18908,1,0
191,276,14367,10,0
192,276,15970,9,0
193,276,39752,8,0
194,276,14492,7,0
195,276,20356,6,0
196,276,18908,5,0
197,276,20289,4,0
198,276,55422,3,0
199,276,50305,2,0
200,276,7694,1,0
201,294,37237,10,0
202,294,45114,9,0
203,294,52296,8,0
204,294,39752,7,0
205,294,8773,6,0
206,294,36968,5,0
207,294,48263,4,0
208,294,29309,3,0
209,294,35787,2,0
210,294,53593,1,0
211,389,36767,10,0
212,389,30239,9,0
213,389,14367,8,0
214,389,30280,7,0
215,389,29839,6,0
216,389,18908,5,0
217,389,20356,4,0
218,389,55422,3,0
219,389,39752,2,0
220,389,26488,1,0
221,411,14367,10,0
222,411,15970,9,0
223,411,2590,8,0
224,411,20356,7,0
225,411,14492,6,0
226,411,50305,5,0
227,411,22927,4,0
228,411,29309,3,0
229,411,20289,2,0
230,411,55422,1,0
231,427,14367,10,0
232,427,29839,9,0
233,427,30239,8,0
234,427,30280,7,0
235,427,42013,6,0
236,427,53593,5,0
237,427,8773,4,0
238,427,53602,3,0
239,427,55422,2,0
240,427,20356,1,0
241,433,14367,10,0
242,433,30280,9,0
243,433,29839,8,0
244,433,30239,7,0
245,433,42013,6,0
246,433,14492,5,0
247,433,37237,4,0
248,433,53593,3,0
249,433,55422,2,0
250,433,53602,1,0
251,452,30239,10,0
252,452,14367,9,0
253,452,62,8,0
254,452,29839,7,0
255,452,30280,6,0
256,452,20356,5,0
257,452,18908,4,0
258,452,29309,3,0
259,452,55422,2,0
260,452,35061,1,0
261,454,36767,10,0
262,454,14367,9,0
263,454,55422,8,0
264,454,20356,7,0
265,454,18908,6,0
266,454,39752,5,0
267,454,4820,4,0
268,454,30239,3,0
269,454,30280,2,0
270,454,29839,1,0
271,475,14367,10,0
272,475,55422,9,0
273,475,18908,8,0
274,475,20356,7,0
275,475,4508,6,0
276,475,30239,5,0
277,475,15970,4,0
278,475,14299,3,0
279,475,50305,2,0
280,475,39752,1,0
281,507,14367,10,0
282,507,30239,9,0
283,507,29839,8,0
284,507,30280,7,0
285,507,14492,6,0
286,507,15970,5,0
287,507,20356,4,0
288,507,39752,3,0
289,507,18908,2,0
290,507,35061,1,0
291,525,14367,10,0
292,525,14492,9,0
293,525,30280,8,0
294,525,55422,7,0
295,525,30239,6,0
296,525,15970,5,0
